"Order","Family","sci_name","common_name","ebird_data","is_resident","why"
"PASSERIFORMES"," Bombycillidae","Bombycilla garrulus","Bohemian Waxwing","yes",FALSE,""
"PASSERIFORMES"," Paridae","Poecile hudsonicus","Boreal Chickadee","yes",TRUE,""
"PASSERIFORMES"," Icteridae","Euphagus cyanocephalus","Brewer's Blackbird","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Spizella breweri","Brewer's Sparrow","yes",FALSE,""
"PASSERIFORMES"," Certhiidae","Certhia americana","Brown Creeper","yes",FALSE,""
"PASSERIFORMES"," Icteridae","Molothrus ater","Brown-headed Cowbird","yes",FALSE,""
"PASSERIFORMES"," Icteridae","Icterus bullockii","Bullock's Oriole","yes",FALSE,""
"PASSERIFORMES"," Aegithalidae","Psaltriparus minimus","Bushtit","yes",TRUE,""
"PASSERIFORMES"," Corvidae","Perisoreus canadensis","Canada Jay","yes",TRUE,""
"PASSERIFORMES"," Parulidae","Cardellina canadensis","Canada Warbler","yes",FALSE,""
"PASSERIFORMES"," Troglodytidae","Catherpes mexicanus","Canyon Wren","yes",TRUE,""
"PASSERIFORMES"," Parulidae","Setophaga tigrina","Cape May Warbler","yes",FALSE,""
"PASSERIFORMES"," Fringillidae","Haemorhous cassinii","Cassin's Finch","yes",FALSE,""
"PASSERIFORMES"," Vireonidae","Vireo cassinii","Cassin's Vireo","yes",FALSE,""
"PASSERIFORMES"," Bombycillidae","Bombycilla cedrorum","Cedar Waxwing","yes",FALSE,""
"PASSERIFORMES"," Paridae","Poecile rufescens","Chestnut-backed Chickadee","yes",TRUE,""
"PASSERIFORMES"," Passerellidae","Spizella passerina","Chipping Sparrow","yes",FALSE,""
"PASSERIFORMES"," Corvidae","Nucifraga columbiana","Clark's Nutcracker","yes",TRUE,""
"PASSERIFORMES"," Passerellidae","Spizella pallida","Clay-colored Sparrow","yes",FALSE,""
"PASSERIFORMES"," Hirundinidae","Petrochelidon pyrrhonota","Cliff Swallow","yes",FALSE,""
"PASSERIFORMES"," Icteridae","Quiscalus quiscula","Common Grackle","yes",FALSE,""
"PASSERIFORMES"," Corvidae","Corvus corax","Common Raven","yes",TRUE,""
"PASSERIFORMES"," Parulidae","Geothlypis trichas","Common Yellowthroat","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Oporornis agilis","Connecticut Warbler","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Junco hyemalis","Dark-eyed Junco","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Empidonax oberholseri","Dusky Flycatcher","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Tyrannus tyrannus","Eastern Kingbird","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Sayornis phoebe","Eastern Phoebe","yes",FALSE,""
"PASSERIFORMES"," Fringillidae","Coccothraustes vespertinus","Evening Grosbeak","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Passerella iliaca","Fox Sparrow","yes",FALSE,""
"PASSERIFORMES"," Regulidae","Regulus satrapa","Golden-crowned Kinglet","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Zonotrichia atricapilla","Golden-crowned Sparrow","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Ammodramus savannarum","Grasshopper Sparrow","yes",FALSE,""
"PASSERIFORMES"," Mimidae","Dumetella carolinensis","Gray Catbird","yes",FALSE,""
"PASSERIFORMES"," Turdidae","Catharus minimus","Gray-cheeked Thrush","yes",FALSE,""
"PASSERIFORMES"," Fringillidae","Leucosticte tephrocotis","Gray-crowned Rosy-Finch","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Empidonax hammondii","Hammond's Flycatcher","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Zonotrichia querula","Harris's Sparrow","yes",FALSE,""
"PASSERIFORMES"," Turdidae","Catharus guttatus","Hermit Thrush","yes",FALSE,""
"PASSERIFORMES"," Alaudidae","Eremophila alpestris","Horned Lark","yes",FALSE,""
"PASSERIFORMES"," Fringillidae","Haemorhous mexicanus","House Finch","yes",TRUE,""
"PASSERIFORMES"," Troglodytidae","Troglodytes aedon","Northern/Southern House Wren","yes",FALSE,""
"PASSERIFORMES"," Vireonidae","Vireo huttoni","Hutton's Vireo","yes",FALSE,""
"PASSERIFORMES"," Calcariidae","Calcarius lapponicus","Lapland Longspur","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Chondestes grammacus","Lark Sparrow","yes",FALSE,""
"PASSERIFORMES"," Cardinalidae","Passerina amoena","Lazuli Bunting","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Empidonax minimus","Least Flycatcher","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Ammospiza leconteii","LeConte's Sparrow","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Melospiza lincolnii","Lincoln's Sparrow","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Geothlypis tolmiei","MacGillivray's Warbler","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Setophaga magnolia","Magnolia Warbler","yes",FALSE,""
"PASSERIFORMES"," Troglodytidae","Cistothorus palustris","Marsh Wren","yes",FALSE,""
"PASSERIFORMES"," Turdidae","Sialia currucoides","Mountain Bluebird","yes",FALSE,""
"PASSERIFORMES"," Paridae","Poecile gambeli","Mountain Chickadee","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Geothlypis philadelphia","Mourning Warbler","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Leiothlypis ruficapilla","Nashville Warbler","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Ammospiza nelsoni","Nelson's Sparrow","yes",FALSE,""
"PASSERIFORMES"," Mimidae","Mimus polyglottos","Northern Mockingbird","yes",FALSE,""
"PASSERIFORMES"," Hirundinidae","Stelgidopteryx serripennis","Northern Rough-winged Swallow","yes",FALSE,""
"PASSERIFORMES"," Laniidae","Lanius borealis","Northern Shrike","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Parkesia noveboracensis","Northern Waterthrush","yes",FALSE,""
"PASSERIFORMES"," Muscicapidae","Oenanthe oenanthe","Northern Wheatear","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Contopus cooperi","Olive-sided Flycatcher","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Leiothlypis celata","Orange-crowned Warbler","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Seiurus aurocapilla","Ovenbird","yes",FALSE,""
"PASSERIFORMES"," Troglodytidae","Troglodytes pacificus","Pacific Wren","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Setophaga palmarum","Palm Warbler","yes",FALSE,""
"PASSERIFORMES"," Vireonidae","Vireo philadelphicus","Philadelphia Vireo","yes",FALSE,""
"PASSERIFORMES"," Fringillidae","Pinicola enucleator","Pine Grosbeak","yes",FALSE,""
"PASSERIFORMES"," Fringillidae","Spinus pinus","Pine Siskin","yes",FALSE,""
"PASSERIFORMES"," Fringillidae","Haemorhous purpureus","Purple Finch","yes",FALSE,""
"PASSERIFORMES"," Hirundinidae","Progne subis","Purple Martin","yes",FALSE,""
"PASSERIFORMES"," Sittidae","Sitta pygmaea","Pygmy Nuthatch","yes",TRUE,""
"PASSERIFORMES"," Fringillidae","Loxia curvirostra","Red Crossbill","yes",FALSE,""
"PASSERIFORMES"," Sittidae","Sitta canadensis","Red-breasted Nuthatch","yes",FALSE,""
"PASSERIFORMES"," Vireonidae","Vireo olivaceus","Red-eyed Vireo","yes",FALSE,""
"PASSERIFORMES"," Fringillidae","Acanthis flammea","Redpoll","yes",FALSE,""
"PASSERIFORMES"," Icteridae","Agelaius phoeniceus","Red-winged Blackbird","yes",FALSE,""
"PASSERIFORMES"," Troglodytidae","Salpinctes obsoletus","Rock Wren","yes",FALSE,""
"PASSERIFORMES"," Cardinalidae","Pheucticus ludovicianus","Rose-breasted Grosbeak","yes",FALSE,""
"PASSERIFORMES"," Regulidae","Corthylio calendula","Ruby-crowned Kinglet","yes",FALSE,""
"PASSERIFORMES"," Icteridae","Euphagus carolinus","Rusty Blackbird","yes",FALSE,""
"PASSERIFORMES"," Mimidae","Oreoscoptes montanus","Sage Thrasher","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Passerculus sandwichensis","Savannah Sparrow","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Sayornis saya","Say's Phoebe","yes",FALSE,""
"PASSERIFORMES"," Calcariidae","Calcarius pictus","Smith's Longspur","yes",FALSE,""
"PASSERIFORMES"," Calcariidae","Plectrophenax nivalis","Snow Bunting","yes",FALSE,""
